index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
2008,04494fe4-a6be-4901-bd8f-2396c2a3ac95,05Ran@2,BUYER,RandomAgent,_SystemAgent,113,1,38,59,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
2009,f4a1ab81-3fdf-4626-b280-4a921a7e91e5,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,2,10,59,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,113,,-1,-1
2010,cac591d1-1df2-43d7-b56b-fde843240818,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,1,10,59,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,113,,-1,-1
2011,71488b60-e489-421f-89b8-64740f51cebf,02Dec@1,05Ran@2,DecentralizingAgent,RandomAgent,68,4,57,59,-1,59,02Dec@1|05Ran@2,"[quantity: (1, 5), time: (64, 69), unit_price: (29, 58)]",02Dec@1,05Ran@2,p2,02Dec@1,False,2,13,68,,-1,-1
2012,3571cd34-b472-4564-9198-8d356a1068e0,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,113,2,10,59,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,113,,-1,-1
2013,424eed46-37fc-4836-be14-a350cc13bdfc,05Ran@2,BUYER,RandomAgent,_SystemAgent,113,2,38,59,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
2014,527c14d4-9525-43ae-a290-2ce81ef218bf,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,113,1,10,59,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,113,,-1,-1
2015,cfcf1235-0bf9-400b-b79f-dc1e006a009d,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,65,5,11,59,-1,59,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (59, 65), unit_price: (1, 23)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
2016,eab96e3d-3820-4be1-bf43-f553d4f1ccd2,05Ran@2,BUYER,RandomAgent,_SystemAgent,113,3,38,59,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
2017,b24c415a-771c-4176-816a-b8a1ea80528c,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,1,10,59,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,113,,-1,-1
